Date;Comment
29.10.22 10:22:59;@shra_rsh das ist glatt gelogen, Anfang der 2000er wollten wir unser eigenes Gas fördern, ratet mal wer dagegen war bzw. FÜR das russische Gas
29.10.22 10:27:37;Ich hasse euch alle
29.10.22 10:29:58;@kadir___kayy Du denkst zu sehr schwarz/weiß. Die Grünen wollten kein Fracking-Gas weil das extrem Umweltschädlich und auch gesundheitsschädlich ist. Die Grünen wollten nie Gas für die Energieversorgung, seit der Gründung in den 90ern wollte die Partei ausschließlich Grüne Energie für Deutschland. Außerdem war die Lage damals noch eine ganz andere. Seit 2014 (Krim Besetzung) wollte die Grüne umso stärker weg von Russischem Gas, die Regierung wollte aber weiter billiges Gas und Annäherung an Russland. Die Grünen haben da gar keine Schuld du verdrehst die Realität.
29.10.22 10:32:53;Bestes Deutschland aller Zeiten
29.10.22 10:35:17;Ein Schelm, wer denkt, dass viele Unternehmen diese Zeit der Inflation nutzen um ihre Preise zu steigern und so ein paar Scheinchen mehr einstecken zu können 😉
29.10.22 10:37:10;@max.underground Stimmt, aber hauptsache gendern 🙄
29.10.22 10:38:47;@dominik_rg_ was für Boomer? Um zu arbeiten muss man kein Boomer sein 😉 probiers doch mal aus, dann hast du nicht mehr so viel Zeit fürs Internet und hörst/siehst den Spruch weniger ✨
29.10.22 10:39:50;Du hast also auch keine Ahnung von wirtschaftlichen Zusammenhängen, alles klar.
29.10.22 10:40:08;Danke Herr Biden, danke Herr Selenskyj
29.10.22 10:41:17;Inflation  durch Energiepreise wohl nur eine Brandbeschleuniger schuld ist hier die Geldausweitung der EZB ...👆👆
29.10.22 10:47:11;@so.nja2614 leider wahr. Mit schönen Doppelpunkten :::::
29.10.22 10:55:50;Wir warten bis Blackout is du keine Polizei rufen kannst..
29.10.22 10:56:17;@fahrzeuge_des_ostblocks na das war je mal ein Rundumschlag eines gefrusteten Mitbürgers 😂
29.10.22 11:06:14;Auswandern Bye
29.10.22 11:14:48;Wer mit Rauchen und Alkohol trinken aufhört, hat die Inflationsrate locker wieder reingeholt🙌
29.10.22 11:16:37;@__naturpics__ Es steht dir offen selbst in die Politik zu gehen🙃
29.10.22 11:20:06;@dennis.giangiulio._official_ Es gibt viele Möglichkeiten der Inflation zu entkommen ohne die Wirtschaft abzuwürgen🤑🖐️
