 Klimaschutz muss deshalb noch viel radikaler werden.
 Menschengemachter KlimawandelGrippe als KillervirusGentherapie als ImpfungMehr als 2 Geschlechter Welches ist wohl die größte eurer Lügen?
 Der Mensch ist halt nicht dazu imstande sich über Jahrzehnte in die Zukunft zu denken. Wir sind und bleiben doch Primaten. Ziemlich schlaue, aber doch nicht schlau genug.
 Gut. Wir brauchen den Klimawandel, wir müssen Gas sparen. Wird auch klappen durch unsere LNG Lieferungen mit den Öl-Tanker 😊
 https://t.co/L4ETzD3L41Die Episode stammt allerdings aus dem Jahr 1976...
 Selbst wenn wir 🇩🇪angehalten hätten, wäre es zu wenig gewesen!
" ""Expertenrat: Deutsche Klimaziele für 2030 kaum erreichbar""Die inkompetenten Witzfiguren der Regierung versagen auf ganzer Linie🤓😂"
 Op Deutschland die Klimaziele erreicht oder nicht,ist völlig Irrelevant,unser Beitrag zur Erderwärmung ist verschwindet gering.
" ""Kaum"" ist halt nicht ""nicht"" und wenn wir nur ansatzweise an unsere selbst gestickten Ziele herankämen, wäre das schon vorteilhaft. Aber mit einer FDP in der Bundesregierung ist der Pessimismus in dieser Hinsicht natürlich berechtigt."
 Kohleverstromung.
" Kennt ihr die französische Trickfilm- &amp; Buchreihe ""Es war einmal...""?Hier ein Clip welcher im französischen Original bereits 1976 erschien:https://t.co/onOcZKPqENWas hat sich seitdem geändert?"
 Und weiter geht es nicht der Panikmacherei und das Klima kann man nicht kontrollieren.
 Ja, das Weltklima lässt sich durch Deutschland beeinflussen, hahshaha
 Der ÖRR auf Sparkurs: Keine Farbaufnahmen mehr für Wasserdampf deutscher Industrieanlagen.
 Wie denn auch mit Kohlestrom? Wo habt ihr die Experten her? Vom Kiosk?. Das Klimaziel ist von A-Z Käse. Wir spielen da keine Rolle mehr. Ein Rückhalt der Gelder und Vorsorge um die  Folgen abzufangen ist viel wichtiger.
 Kein Wunder bei dem Personal in den Regierungen und versagenden Medien.
 Wertes -Team,warum wurde das dt. Klimaziele hier nicht anhand des CO2-Budgets eingeordnet?Weshalb wurde verschwiegen, dass die selbstgesteckten Ziele der Regierung skandalös zu niedrig sind - auch beim neuen Klimagesetz?#MedienKlimaKrise https://t.co/8h401fOjdu
 Experten 😅
 So what?
 Keine Panik... noch zwei Jahre mit den Grünen in der Regierung und wir erfüllen diese Ziele. Es muss nur der Ideologie gefolgt werden. Unsere Regierung tut ihr bestes. Schließlich wurden sie gewählt und vertreten die Mehrheit. War doch so ... Oder?
 So ist das, wenn man Ideologen anstatt Fachleute an die Spitze einer Gesellschaft hievt. Aber was kann man zu solchen Helfern wie euch sagen, wo ihr doch selbst nur noch Populismus und woke Ideologien kennt.
 https://t.co/1GJ1rR0jUC
 Mit LNG aus USA wird man die Klimaziele ganz sicher nicht erreichen. Neben der Verbrennung entstehen durch Transport zusätzlich CO2. Um russisches Gas zu ersetzen, wären 360.000 Fahrten von Tankschiffen erforderlich + nur bei einer Fahrt werden 2000 Tonnen Schweröl verbraucht.🤔 https://t.co/p6LU0NQphH
 Maßnahmen, wir brauchen Maßnahmen!Schwimmbäder schließen - jetzt! #Kollateralschaden und fear mongering lassen schon nach.
 es gibt klimaziele nur in kaputten hirnen! sie sind nicht gott und religion ist keine politik! hören sie auf bildzeitungs und schmierenjournalismus zu betreiben und diesen völligen schwachsinn pubertierender freitags idioten nachzuplappern!🙈🙊🙉😡👎🏿⚖️👏🏾👏🏾  👏🏾🤮🦠😷💉🏨⛽️🧨⚖️☮️
 @c_lindner lindnerUnd dann will die FDP Fracking in DE! Das passt nicht zusammen!
 Wie soll das auch funktionieren, wenn die #Gruenen jetzt wieder vermehrt  Kohle und Öl verbrennen!#Atomkraft ist ja böse, wenn auch CO2 freundlich
 Bei einem Anteil von 2% am weltweiten CO2 können wir uns das leisten.
 Das böse, böse Deutschland wieder. Immer feste draufhauen auf das böse, böse Deutschland 😂
 Gemeint ist nicht der Staat, aber die Leute sollen mehr Energie sparen.
 Mit dem Weiterbetrieb von Kohlekraftwerken lassen sich Klimaziele nicht erreichen? Suprise :0
 Aber fleißig Waffen und Geld in die Ukraine liefern, Kohlekraftwerke weiterbetreiben, kein Tempolimit.
 WEF Ideologie 🤡
 Vor allem wenn wir uns ansehen wie ambitioniert das Verkehrsministerium aber auch das Wirtschaftsministerium sind. Ich habe mir von der #Ampel mehr erhofft.
 Und die Regierung rügt Klimaaktivisten. Was ist mit dem #Klimakanzler @Bundeskanzler?
 Da muss jetzt aber mal langsam was passieren
 Da sehen Sie, dass nur 3 mal im Jahr darüber berichten einfach nicht ausreicht.
 Danke an dieser Stelle an die Grünen, für Kohle und Öl.
 Und andere werden es auch nicht erreichen bzw. wollen es gar nicht.
 Wenn ich Klimaziele lese und gleichzeitig sehe, wie abgeholzt, betoniert und versiegelt wird - hier in Deutschland, dann ist das Gebrabbel über Klima nur Gewäsch. Bäume verfeuern und eAuto fahren - das ist gut für das Ego, aber nicht fürs Klima.
 Ich will dem Expertenrat nicht zu nahe treten... Aber das hätte ich auch erwartet.
 Aha und woran liegt das bitte ?! Katastrophale Politik das Stichwort, steigen zuerst aus emmisionsarmen akw aus und später erst aus kohle. Haben strompreise die explodieren und den umstieg auf Wärmepumpen, eautos immer unattraktiver machen. Fehlende Speicher für EE usw
 Kommt von dieser penedranten Embargopolitik unserer Knallerbsen
 Wir brauchen Energie. Wärme.Und die Steuerdiebe und Klimalügner weniger Geld von uns.
 Mehr muss man nicht wissen.#Climate #Scam https://t.co/4aKOUbYrwN
 Dann ist es wohl wirklich die allerbeste Idee wieder noch mehr Kohlekraftwerke wieder noch mehr Dreck in die Luft pusten zu lassen, statt in dieser Zeit vorhandene Kraftwerke, die gar kein CO2 ausstoßen, laufen zu lassen, ne?Ideologie Vorrang vor Fakten geben ist nie gut.
 Deutschland kann das Weltklima bis 2030 nicht alleine retten. Bin schockiert.
 Und deshalb haben so viele Bock den Klebeaktivisten eine auszuwischen.Krankes Volk.
 Tja, mit Porsche-Christian und der Benzin-SPD wars nicht anders zu erwarten, ne?🙈
 Die sofortige Totalabschaltung Deutschlands würde im hier einzig relevanten Weltmaßstab freilich auch nicht das Geringste ändern. Die USA haben ihr 1,5-Grad-Ziel-Restbudget bereits vollständig emittiert, China emittiert unser Restbudget alle sechs Monate.
 https://t.co/3rdqB2Sd10
 Am 24.06.21 wurde das Ziel von 55 auf 65% verschärft, mit Zustimmung der Grünen und SPD. Da hatte man wohl noch keine Hoffnung die nächste Regierung bilden zu dürfen, selbst schuld.
 Die Ziele können niemals eingehalten werden und das Wissen die Politiker auch trotzdem wird ein riesen Wirbel darum gemacht was viele Menschen erschreckt und Lobbyisten ein Vermögen machen
